"Nstart","Nend.BA.Base","Nend.BA.Deac","Nend.BA.LRest","Diff.BA.Deac.tEnd","Diff.S.Deac.tEnd","Diff.BA.LRest.tEnd","Diff.S.LRest.tEnd"
121,20.9376846078435,47.280955177021,28.4261415633391,6.66204295093641,1.67173253776347,23.4360698129143,3.85105727869114
122,21.1107233236108,47.6717068726989,28.6610683531188,6.6074360415025,1.6580298120441,23.2439708800215,3.81949123542318
123,21.2837620393781,48.0624585683768,28.8959951428984,6.55371704929516,1.64454989487301,23.0549955070132,3.78843846115145
124,21.4568007551454,48.4532102640546,29.1309219326781,6.50086449244601,1.63128739572081,22.8690681238922,3.75788653807765
125,21.6298394709127,48.8439619597325,29.3658487224578,6.44885757650644,1.61823709655504,22.686115578901,3.72782344577303
126,21.80287818668,49.2347136554103,29.6007755122374,6.39767616716909,1.60539394499508,22.5060670425605,3.69823754540975
127,21.9759169024473,49.6254653510882,29.8357023020171,6.34730076427799,1.59275304779039,22.3288539162412,3.66911756473723
128,22.1489556182146,50.0162170467661,30.0706290917968,6.29771247705707,1.58030966460453,22.1544097450205,3.64045258376272
129,22.3219943339819,50.4069687424439,30.3055558815764,6.24889300049074,1.56805920208822,21.982670134594,3.61223202109789
130,22.4950330497492,50.7977204381218,30.5404826713561,6.20082459279466,1.555997208226,21.8135726720202,3.5844456209356
131,22.6680717655165,51.1884721337996,30.7754094611357,6.15349005391836,1.54411936694183,21.6470568500964,3.55708344062312
132,22.8411104812838,51.5792238294775,31.0103362509154,6.10687270502504,1.53242149294985,21.4830639951714,3.53013583880022
133,23.0141491970511,51.9699755251553,31.2452630406951,6.06095636889703,1.52089952683744,21.3215371982153,3.50359346407239
134,23.1871879128184,52.3607272208332,31.4801898304747,6.0157253512187,1.50954953036851,21.1624212489748,3.47744724419126
135,23.3602266285857,52.7514789165111,31.7151166202544,5.97116442269115,1.49836768199541,21.0056625730565,3.45168837571577
136,23.533265344353,53.1422306121889,31.9500434100341,5.92725880193607,1.48735027256897,20.851209171784,3.42630831412962
137,23.7063040601203,53.5329823078668,32.1849701998137,5.88399413914821,1.47649370123635,20.6990105646907,3.40129876439145
138,23.8793427758876,53.9237340035447,32.4198969895934,5.84135650045873,1.46579447151725,20.5490177345118,3.37665167189586
139,24.0523814916549,54.3144856992225,32.654823779373,5.79933235297342,1.4552491875495,20.4011830745513,3.35235921382466
140,24.2254202074222,54.7052373949004,32.8897505691527,5.75790855045218,1.44485455049557,20.2554603383045,3.32841379086877
141,24.3984589231895,55.0959890905782,33.1246773589324,5.71707231959791,1.43460735510198,20.1118045912243,3.30480801930233
142,24.5714976389568,55.4867407862561,33.359604148712,5.67681124692468,1.42450448640408,19.9701721645256,3.28153472339175
143,24.7445363547241,55.8774924819339,33.5945309384917,5.63711326617696,1.41454291656909,19.8305206109275,3.25858692812328
144,24.9175750704914,56.2682441776118,33.8294577282714,5.59796664627295,1.40471970187069,19.6928086622405,3.23595785223353
145,25.0906137862587,56.6589958732897,34.064384518051,5.55935997974693,1.39503197978883,19.5569961887078,3.21364090152847
146,25.263652502026,57.0497475689675,34.2993113078307,5.52128217166647,1.38547696622863,19.423044160018,3.19162966247691
147,25.4366912177933,57.4404992646454,34.5342380976103,5.48372242900208,1.37605195285292,19.290914607909,3.1699178960655
148,25.6097299335606,57.8312509603232,34.76916488739,5.44667025042774,1.36675430452284,19.160570590288,3.14849953190289
149,25.7827686493279,58.2220026560011,35.0040916771697,5.41011541653225,1.35758145684148,19.0319761567962,3.12736866256126
150,25.9558073650952,58.612754351679,35.2390184669493,5.37404798042204,1.34853091379587,18.9050963157509,3.10651953814419
151,26.1288460808625,59.0035060473568,35.473945256729,5.33845825869739,1.33960024549258,18.7798970024015,3.08594656107039
152,26.3018847966298,59.3942577430347,35.7088720465086,5.3033368227849,1.33078708598276,18.6563450484383,3.06564428106334
153,26.4749235123971,59.7850094387125,35.9437988362883,5.26867449060984,1.32208913117242,18.5344081526969,3.04560739033744
154,26.6479622281644,60.1757611343904,36.178725626068,5.23446231859289,1.31350413681415,18.4140548530041,3.02583071897161
155,26.8210009439317,60.5665128300683,36.4136524158476,5.20069159395681,1.30502991657664,18.2952544991137,3.00630923046212
156,26.994039659699,60.9572645257461,36.6485792056273,5.16735382732888,1.29666434018833,18.1779772266835,2.98703801744634
157,27.1670783754663,61.348016221424,36.883505995407,5.13444074562615,1.2884053316521,18.062193932246,2.96801229758999
158,27.3401170912336,61.7387679171018,37.1184327851866,5.10194428521079,1.28025086752772,17.9478762491306,2.94922740963056
159,27.5131558070009,62.1295196127797,37.3533595749663,5.06985658530381,1.27219897527912,17.8349965242933,2.93067880956999
160,27.6861945227682,62.5202713084576,37.5882863647459,5.03816998164566,1.26424773168362,17.7235277960164,2.91236206701018
161,27.8592332385355,62.9110230041354,37.8232131545256,5.0068770003932,1.2563952613005,17.6134437724387,2.89427286162502
162,28.0322719543028,63.3017746998133,38.0581399443053,4.97597035224262,1.24863973499617,17.5047188108804,2.87640697976314
163,28.2053106700701,63.6925263954911,38.2930667340849,4.94544292676874,1.2409793685238,17.3973278979302,2.85876031117563
164,28.3783493858374,64.083278091169,38.5279935238646,4.91528778697137,1.23341242115476,17.2912466302599,2.84132884586359
165,28.5513881016047,64.4740297868469,38.7629203136443,4.88549816402003,1.22593719435988,17.1864511961371,2.82410867104017
166,28.724426817372,64.8647814825247,38.9978471034239,4.85606745218859,1.21855203053843,17.0829183576062,2.80709596820258
167,28.8974655331393,65.2555331782026,39.2327738932036,4.82698920397189,1.21125531179269,16.9806254333092,2.79028701030915
168,29.0705042489066,65.6462848738804,39.4677006829832,4.79825712537682,1.20404545874631,16.8795502819204,2.77367815905731
169,29.2435429646739,66.0370365695583,39.7026274727629,4.7698650713805,1.19692092940461,16.7796712861694,2.75726586225816
170,29.4165816804412,66.4277882652362,39.9375542625426,4.74180704154885,1.18988021805518,16.6809673374272,2.7410466513037
171,29.5896203962085,66.818539960914,40.1724810523222,4.7140771758088,1.1829218542069,16.5834178208341,2.72501713872297
172,29.7626591119758,67.2092916565919,40.4074078421019,4.68666975036805,1.17604440156616,16.4870026009455,2.70917401582342
173,29.9356978277431,67.6000433522697,40.6423346318816,4.65957917377633,1.16924645704844,16.3917020078765,2.69351405041404
174,30.1087365435104,67.9907950479476,40.8772614216612,4.63279998312244,1.16252664982402,16.2974968239232,2.67803408460706
175,30.2817752592777,68.3815467436255,41.1121882114409,4.60632684036174,1.15588364039646,16.2043682706436,2.66273103269502
176,30.454813975045,68.7722984393033,41.3471150012205,4.58015452876878,1.14931611971239,16.1122979963786,2.64760187910016
177,30.6278526908123,69.1630501349812,41.5820417910002,4.5542779495102,1.14282280830158,16.0212680641956,2.63264367639338
178,30.8008914065796,69.553801830659,41.8169685807799,4.52869211833317,1.13640245544595,15.9312609402395,2.61785354337993
179,30.9739301223469,69.9445535263369,42.0518953705595,4.50339216236483,1.13005383837642,15.8422594824728,2.60322866324932
180,31.1469688381142,70.3353052220148,42.2868221603392,4.47837331701836,1.12377576149655,15.7542469297924,2.58876628178682
181,31.3200075538815,70.7260569176926,42.5217489501188,4.45363092300169,1.11756705563193,15.6672068915062,2.57446370564436
182,31.4930462696488,71.1168086133705,42.7566757398985,4.42916042342475,1.11142657730429,15.5811233371573,2.56031830066829
183,31.6660849854161,71.5075603090483,42.9916025296782,4.40495736100167,1.1053532080294,15.495980586681,2.54632749028212
184,31.8391237011834,71.8983120047262,43.2265293194578,4.38101737534405,1.09934585363793,15.4117633008838,2.53248875392189
185,32.0121624169507,72.2890637004041,43.4614561092375,4.35733620034219,1.09340344361827,15.3284564722304,2.51879962552232
186,32.185201132718,72.6798153960819,43.6963828990172,4.33390966163067,1.08752493048054,15.2460454159281,2.50525769205177
187,32.3582398484853,73.0705670917598,43.9313096887968,4.31073367413532,1.08170928914107,15.1645157612975,2.49186059209427
188,32.5312785642526,73.4613187874376,44.1662364785765,4.28780423969843,1.07595551632649,15.0838534434182,2.47860601447675
189,32.7043172800199,73.8520704831155,44.4011632683561,4.26511744477939,1.07026262999672,15.0040446950404,2.46549169693983
190,32.8773559957872,74.2428221787934,44.6360900581358,4.24266945822792,1.06462966878621,14.9250760387507,2.45251542485068
